album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,,
Red (Taylor's Version),FALSE,12/11/2021,22,Better Man (Taylor's Version) [From The Vault],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,23,Nothing New (Taylor's Version) [From The Vault],Taylor Swift,Phoebe Bridgers,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,24,Babe (Taylor's Version) [From The Vault],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,25,Message In A Bottle (Taylor's Version) [From The Vault],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,26,I Bet You Think About Me (Taylor's Version) [From The Vault],Taylor Swift,Chris Stapleton,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,27,Forever Winter (Taylor's Version) [From The Vault],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,28,Run (Taylor's Version) [From The Vault],Taylor Swift,Ed Sheeran,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,29,The Very First Night (Taylor's Version) [From The Vault],Taylor Swift,NA,FALSE,NA,,
Red (Taylor's Version),FALSE,12/11/2021,30,All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,NA,FALSE,15/11/2021,,
1989,FALSE,27/10/2014,1,Welcome To New York,Taylor Swift,NA,FALSE,20/10/2014,,
1989,FALSE,27/10/2014,2,Blank Space,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,3,Style,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,4,Out Of The Woods,Taylor Swift,NA,FALSE,14/10/2014,,
1989,FALSE,27/10/2014,5,All You Had To Do Was Stay,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,6,Shake It Off,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,7,I Wish You Would,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,8,Bad Blood,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,9,Wildest Dreams,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,10,How You Get The Girl,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,11,This Love,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,12,I Know Places,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,13,Clean,Taylor Swift,NA,FALSE,NA,,
1989,FALSE,27/10/2014,14,Wonderland,Taylor Swift,NA,TRUE,17/2/2015,,
1989,FALSE,27/10/2014,15,You Are In Love,Taylor Swift,NA,TRUE,NA,,
1989,FALSE,27/10/2014,16,New Romantics,Taylor Swift,NA,TRUE,3/3/2015,,
reputation,FALSE,10/11/2017,1,...Ready For It?,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,2,End Game,Taylor Swift,"Ed Sheeran, Future",FALSE,NA,,
reputation,FALSE,10/11/2017,3,I Did Something Bad,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,4,Don't Blame Me,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,5,Delicate,Taylor Swift,NA,FALSE,NA,,
reputation,FALSE,10/11/2017,6,Look What You Made Me Do,Taylor Swift,NA,FALSE,NA,,
